Property ID,Property ZIP,Year Built,Unit,Beds,Baths,Floorplan,Lease Id,Type,Tenant Id,Online?,Renewal,Lease Start,Lease End,Rent,Income,Verified Income,Employer,Status,Birthday,Previous City,Previous State,Previous ZIP,Previous Country,Referral,Moving From,Industry,Pets1,Pets2,Pets3,Insurent1,Insurent2,Score,Unit,Unit Type,SF,Resident,Market Rent,Actual Rent,Move In Date,Lease Expiration Date,Move Out Date,Married,Household Type,Gender,# of Occupants,# of Children,Work from Home?
162194,11217,2013,38D,2,2,"2 BR, 2 BA",13968714,INDIVIDUAL,39811821,Y,FALSE,4/1/2015,6/30/2016,5310,145398,0,Montefiore Medical Center,Closed,9/1/1979,West Roxbury,MA,2132,US,Broker,USA,0,0,One,one,No,0,3.4,38D,2-1025MW,1025,t0024453,8000,5310,4/1/2015,12/31/2016,0,N,Roommates,FF,2,0,No
162194,11217,2013,7G,0,1,"STU, 1 BA",14309564,INDIVIDUAL,40427122,Y,FALSE,4/1/2015,1/31/2017,2550,130174.2,0.01,United Nations,Closed,11/1/1937,New York,NY,10016,US,Streeteasy,Manhattan,0,0,None,none,No,0,2.4,7G,0-467m,467,t0024506,5000,2550,4/1/2015,1/31/2017,0,N,Single,F,1,0,No
145511,10009,0,9C,0,1,Studio/1 Bath,15194582,INDIVIDUAL,42007321,Y,FALSE,4/1/2015,6/30/2016,2650,0,104000,RGBSI / Food Network,Closed,1/1/1988,Brooklyn,NY,11215,US,Broker,0,0,0,None,none,No,0,4.6,9C,s-510ra,510,t0024607,4919.2,2650,4/1/2015,6/30/2017,0,N,Single,F,1,0,Not Available
162194,11217,2013,35A,2,2,"2 BR, 2 BA, 2 Balconies",14991329,INDIVIDUAL,41625324,Y,FALSE,5/15/2015,9/30/2016,5690,900000,4981728,Philip L. Koppell,Approved,3/1/1960,New York,NY,10128,US,Sign,Manhattan,0,0,None,none,No,0,9.5,35A,21057mbb,1057,t0024581,7140,5690,5/15/2015,9/30/2018,0,N,Couple,MF,2,1,No
156212,10028,1986,6A,0,1,Studio/1Bath,15630318,INDIVIDUAL,42816482,Y,FALSE,5/15/2015,5/31/2016,2475,0,80000,Macy's,Closed,4/1/1986,New York,NY,10009,US,NYbits.com,Manhattan,0,No,None,none,No,0,4.3,06A,a11-col,415,t0129470,2600,2475,05/15/2015,02/28/2017,0,No,Single,F,1,0,N
156212,10028,1986,9H,0,1,Studio/1Bath,15982741,INDIVIDUAL,43482107,Y,FALSE,5/15/2015,4/30/2016,2700,170000,0,United States Olympic Committee,Closed,10/1/1975,New york,NY,10002,US,Craigslist,NYC Other (Staten Island and Bronx),0,No,None,none,No,0,9.6,09H,a21-col,470,t0130103,2725,2700,05/15/2015,01/31/2017,0,No,Single,M,1,0,N
162194,11217,2013,37D,2,2,"2 BR, 2 BA",14381563,INDIVIDUAL,40547234,Y,FALSE,5/16/2015,8/31/2016,5350,160000,160000,Cohen & Gresser LLP,Closed,6/1/1981,New York,NY,10012,US,Personal Referral,Manhattan,0,0,One,one,No,0,9.3,37D,2-1025MW,1025,t0024502,8000,5350,5/16/2015,8/31/2017,0,N,Roommates,FF,2,0,No
162194,11217,2013,16B,1,1,"1 BR, 1 BA",15734874,INDIVIDUAL,42997587,Y,FALSE,5/25/2015,5/31/2016,3500,220000,220000,Bloomberg LP,Closed,11/1/1981,New York,NY,10005,US,Broker,Manhattan,0,0,None,none,No,0,8.1,16B,1-696m,696,t0024639,7095,3500,5/25/2015,5/31/2017,0,Y,Couple,MF,2,0,No
156212,10028,1986,8D,1,1,1 Bed / 1 Bath,15610057,INDIVIDUAL,42784733,Y,FALSE,6/7/2015,4/30/2016,3025,118000,127000,Shearman & Sterling LLP,Closed,12/1/1978,New York,NY,10019,US,NYbits.com,Manhattan,"Law (lawyer, legal staff)",No,None,none,No,0,7.2,08D,a61-col,675,t0129739,3271,3025,06/07/2015,01/31/2017,0,Yes,Couple,F,2,0,N
156212,10028,1986,5C,1,1.5,1 Bed / 1.5 Bath,15753616,INDIVIDUAL,43039563,Y,FALSE,6/10/2015,5/31/2016,3825,150000,150000,The Blackstone Group,Closed,9/1/1987,Palo Alto,CA,94304,US,Word of Mouth,USA,"Financial (banking, accountant, insurance)",No,None,none,No,0,9.1,05C,a81hcol,785,t0129777,3934,3825,06/10/2015,02/28/2017,0,Yes,Couple,F,2,0,N
162194,11217,2013,28J,1,1,"1 BR, 1 BA, Balcony",15293317,INDIVIDUAL,42195069,Y,FALSE,6/15/2015,6/30/2017,3610,366000,246000.01,Trinity Partners,Closed,5/1/1985,New York,NY,10025,US,Craigslist,Manhattan,0,0,None,none,No,0,9.2,28J,1-683mb,683,t0024616,6000,3610,6/15/2015,6/30/2017,0,Y,Couple,MF,2,0,No
162194,11217,2013,41D,2,2,"2 BR, 2 BA",15563501,INDIVIDUAL,42704650,Y,FALSE,6/15/2015,6/30/2016,5390,450000,131409.01,Glass & Blum P.C. CPA'S,Closed,3/1/1976,New York,NY,10012,US,Word of Mouth,Manhattan,0,0,None,none,No,0,5.8,41D,2-1025MW,1025,t0024638,8160,5390,6/15/2015,6/30/2018,0,Y,Couple,MF,2,0,No
162194,11217,2013,35B,0,1,"STU, 1 BA",15967730,INDIVIDUAL,43442576,Y,FALSE,6/19/2015,6/30/2016,2920,112000,115579,Walgreens,Closed,5/1/1982,Miramar,FL,33025,US,Broker,USA,0,0,None,none,No,0,8.8,35B,0-510mw,510,t0024653,5000,2920,6/19/2015,6/30/2017,0,N,Couple,MF,2,0,No
162194,11217,2013,35C,0,1,"STU, 1 BA, Terrace",16227305,INDIVIDUAL,43923952,Y,FALSE,6/22/2015,6/30/2016,3195,0,240000,Credit Suisse,Closed,6/1/1987,New York,NY,10013,US,Sign,Manhattan,0,0,None,none,No,0,9.5,35C,0-610MTW,610,t0024669,5000,3195,6/22/2015,6/30/2017,0,N,Single,M,1,0,No
162194,11217,2013,40D,2,2,"2 BR, 2 BA",15542237,INDIVIDUAL,42663955,Y,FALSE,7/1/2015,6/30/2016,5380,0,0.03,TIGI,Closed,2/1/1974,Boston,MA,2118,US,Website,USA,0,0,None,none,No,0,8.8,40D,2-1025MW,1025,t0024629,8160,5380,7/1/2015,6/30/2018,0,Y,Couple,MF,2,1,Yes
162194,11217,2013,9J,0,1,"STU, 1 BA",16168174,INDIVIDUAL,43808521,Y,FALSE,7/1/2015,6/30/2017,2750,137996.55,137996.56,Capital Group,Closed,2/1/1979,New York,NY,10009,US,Website,Manhattan,0,0,None,none,No,0,9.2,9J,0-572m,572,t0024668,6000,2750,7/1/2015,6/30/2017,0,N,Single,M,1,0,No
156212,10028,1986,8-C,2,1.5,2 Bed/1.5 BA,16026364,INDIVIDUAL,43559884,Y,FALSE,7/1/2015,6/30/2017,5200,400000,250000,J.P. Morgan,Closed,2/1/1978,Washington,DC,20037,US,Broker,USA,"Financial (banking, accountant, insurance)",No,None,none,No,0,9.7,08-C,b5-col,835,t0130139,5200,5200,07/01/2015,06/30/2017,0,Yes,Family,M,4,2,N
162194,11217,2013,5M,0,1,"STU, 1 BA",17095700,INDIVIDUAL,45505160,Y,FALSE,7/3/2015,7/31/2016,2620,0,0,0,Closed,1/1/1988,Washington,DC,20018,US,Broker,USA,"Creative (media, advertising, fashion)",No,None,none,No,0,7.2,5M,0-531m,531,t0024716,5250,0,7/3/2015,7/31/2016,0,N,Single,F,1,0,No
156212,10028,1986,7-F,2,2,2 Bed / 1.5 BA,15309850,INDIVIDUAL,42224615,Y,FALSE,7/6/2015,1/0/1900,5175,270000,270000,JP Morgan,Closed,12/1/1983,New York,NY,10001,US,Property Website,Manhattan,"Financial (banking, accountant, insurance)",No,None,none,No,0,9.4,07-F,b5-col,835,t0129624,5500,5175,07/06/2015,02/28/2017,0,Yes,Family,M,3,1,N
162194,11217,2013,36E,2,2,"2 BR, 2 BA",16112776,INDIVIDUAL,43719933,Y,FALSE,7/8/2015,7/31/2016,5300,200000,135258,"Gerard Addeo, CPA, P.C.",Closed,12/1/1958,Brooklyn,NY,11238,US,Broker,NYC Other (Staten Island and Bronx),0,0,None,none,No,0,6.5,36E,2-971MW,971,t0024664,7000,5300,7/8/2015,7/31/2017,0,N,Single,M,1,0,No
162194,11217,2013,7F,1,1,"1 BR, 1 BA, Terrace",17037661,INDIVIDUAL,45390791,Y,FALSE,7/18/2015,7/31/2016,3495,280000,280000,Mariwalla Dermatology,Closed,11/1/1979,Brookline,MA,2446,US,Broker,USA,"Financial (banking, accountant, insurance)",No,None,none,No,0,6,7F,1-725MT,725,t0024718,6000,3495,7/18/2015,1/31/2017,0,N,Single,F,1,0,No
162194,11217,2013,27H,1,1,"1 BR, 1 BA",17165387,INDIVIDUAL,45654219,Y,FALSE,7/20/2015,7/31/2016,3350,0,250000,Gibson Dunn & Crutcher LLP,Closed,9/1/1982,Brooklyn,NY,11201,US,Personal Referral,NYC Other (Staten Island and Bronx),0,0,None,none,No,0,9.5,27H,1-657m,657,t0024723,6300,3350,7/20/2015,7/31/2017,0,?,Couple,MM,2,0,No
162194,11217,2013,30E,1,1,"1 BR, 1 BA, Balcony",16572211,INDIVIDUAL,44552033,Y,FALSE,7/28/2015,7/31/2017,3575,65000,65440,NYU Lutheran,Closed,1/1/1982,Brooklyn,NY,11209,US,Personal Referral,NYC Other (Staten Island and Bronx),0,0,None,none,No,0,8.2,30E,1-725mb,725,t0024690,6000,3575,7/28/2015,7/31/2017,0,Y,Couple,MF,2,0,No
162194,11217,2013,37A,2,2,"2 BR, 2 BA, 2 Balconies",17120335,INDIVIDUAL,45550693,Y,FALSE,8/1/2015,7/31/2016,5900,250000,0,The Continuum Company,Closed,8/1/1955,Brooklyn,NY,11217,US,Transfer,NYC Other (Staten Island and Bronx),0,0,None,none,No,0,-1,37A,21057mbb,1057,t0024721,8000,5900,8/1/2015,7/31/2017,0,N,Single,M,1,0,No
162194,11217,2013,8H,0,1,"STU, 1 BA",17229965,INDIVIDUAL,45780006,Y,FALSE,8/1/2015,7/31/2017,2595,0,19000,Student,Closed,2/1/1991,Claremont,NH,3743,US,Broker,USA,"Student (undergraduate, graduate)",Dog less than 15 lbs,Two,two,No,0,8.6,8H,0-512m,512,t0024734,5250,2595,8/1/2015,7/31/2017,0,?,Couple,MF,2,0,No
162194,11217,2013,39E,2,2,"2 BR, 2 BA",16423716,INDIVIDUAL,44279059,Y,FALSE,8/15/2015,8/31/2016,5330,186000,186000.01,Federal Reserve bank of New York,Closed,9/1/1980,Brooklyn,NY,11201,US,Live in Neighborhood,NYC Other (Staten Island and Bronx),0,0,One,one,No,0,8.2,39E,2-971MW,971,t0024681,7000,5330,8/15/2015,8/31/2017,0,Y,Couple,MF,2,1,Yes
156212,10028,1986,5G,1,1,1 Bed / 1 Bath,17476717,INDIVIDUAL,46251762,Y,FALSE,8/15/2015,5/31/2016,3150,73000,73000,PwC,Closed,4/1/1991,New York,NY,10075,US,NYbits.com,Manhattan,"Financial (banking, accountant, insurance)",No,None,none,No,0,7.2,05G,a51-col,605,t0132156,3131,3150,08/15/2015,02/28/2017,0,Yes,Couple,M,2,0,N
162194,11217,2013,24A,1,1,"1 BR, 1 BA, Balcony",17597652,INDIVIDUAL,34322834,Y,FALSE,8/22/2015,8/31/2017,3870,173900,173503,Kings County Hospital,Canceled,6/1/1978,Forest Hills,NY,11375,US,Transfer,Manhattan,0,0,0,two,No,0,9.1,24A,1-731mb,731,t0024765,6300,3870,9/1/2015,8/31/2017,0,Y,Couple,MF,2,0,No
162194,11217,2013,17D,0,1,"STU, 1 BA",17902011,INDIVIDUAL,47101011,Y,FALSE,9/1/2015,8/31/2016,2675,145000,175000,E*TRADE,Closed,7/1/1984,New york,NY,10012,US,Broker,Manhattan,0,0,None,none,No,0,7.5,17D,0-516m,516,t0024768,5250,0,9/1/2015,8/31/2016,42674,N,Single,M,1,0,No
162194,11217,2013,16E,1,1,"1 BR, 1 BA",17904283,INDIVIDUAL,47109075,Y,FALSE,9/1/2015,8/31/2017,3565,63000,63000,Mancini Duffy,Approved,5/1/1989,New York,NY,10128,US,Streeteasy,Manhattan,0,0,None,none,No,0,7.8,16E,1-725m,725,t0024769,6300,3565,9/1/2015,8/31/2017,0,?,Couple,MF,2,0,No
156212,10028,1986,27-F,3,3.5,3 Bed / 3.5 Bath,15539548,INDIVIDUAL,42656524,Y,FALSE,9/1/2015,8/31/2016,13000,450000,504000,Nestle Waters North America,Approved,10/1/1964,Stamford,CT,6902,US,Broker,Tri-state,0,Dog over 25 lbs,Two,two,No,0,7.5,27-F,c3-col,1390,t0130108,11000,13000,09/01/2015,08/31/2018,0,Yes,Family,M,3,1,N
156212,10028,1986,34-A,4,3.5,4 Bed / 3.5 Bath,17992772,INDIVIDUAL,47259012,Y,FALSE,9/2/2015,1/0/1900,16000,500000,0,The Kase USA LLC,Closed,2/1/1983,New York,NY,10028,US,Streeteasy,Outside USA,0,No,None,none,No,0,8.4,34-A,d4-col,1973,t0132851,16000,16000,09/02/2015,06/30/2017,0,Yes,Family,M,5,3,N
162194,11217,2013,18B,1,1,"1 BR, 1 BA",18272556,INDIVIDUAL,33441963,Y,FALSE,9/19/2015,9/30/2017,3500,85000,68600,TW Telecom,Closed,10/1/1979,Las Vegas,NV,89135,US,Transfer,0,0,0,0,two,No,0,7.6,18B,1-696m,696,t0024785,6300,3500,9/19/2015,9/30/2017,0,?,Couple,FF,2,0,No
156212,10028,1986,19-C,3,1.5,3 Bed / 1.5 Bath,18436708,INDIVIDUAL,48075257,Y,FALSE,9/27/2015,1/0/1900,6500,100000,100000,Guggenheim Partners,Approved,3/1/1990,Southport,CT,6890,US,Live in Neighborhood,Tri-state,"Financial (banking, accountant, insurance)",No,None,none,No,0,9.4,19-C,c6-col,945,t0133355,6500,6500,09/27/2015,04/30/2017,0,Yes,Couple,M,2,0,N
162194,11217,2013,41A,2,3,"2 BR, 3 BA, 2 Balconies",17784627,CORPORATION,46870631,Y,FALSE,10/1/2015,6/30/2018,9500,0,0,0,Approved,1/0/1900,Los Angeles,CA,90046,US,Personal Referral,USA,"Creative (media, advertising, fashion)",No,None,none,No,0,-1,41A,22082MBB,2082,t0024762,14000,10250,10/1/2015,6/30/2018,0,N,Single,M,1,0,No
162194,11217,2013,20B,1,1,"1 BR, 1 BA",18250484,INDIVIDUAL,47728125,Y,FALSE,10/1/2015,9/30/2016,3650,111000,125000,Rostrum Records,Closed,3/1/1979,Brooklyn,NY,11238,US,Sign,USA,0,0,One,one,No,0,8,20B,1-696m,696,t0024799,6300,0,10/1/2015,9/30/2016,42674,N,Single,M,1,0,No
162194,11217,2013,18E,1,1,"1 BR, 1 BA",18411310,INDIVIDUAL,48015531,Y,FALSE,10/1/2015,9/30/2017,3485,216000,216000,Omni NY LLC,Closed,12/1/1969,Brooklyn,NY,11217,US,Search Engine,NYC Other (Staten Island and Bronx),0,0,None,none,No,0,9.1,18E,1-725m,725,t0024796,6300,3485,10/1/2015,9/30/2017,0,N,Single,M,1,0,No
156212,10028,1986,27-A,4,3.5,4 Bed / 3.5 Bath,18314217,INDIVIDUAL,47836284,Y,FALSE,10/1/2015,9/30/2016,15000,1250000,1250000,Barclays,Approved,1/1/1976,East Hampton,NY,11937,US,Broker,NYC Other (Staten Island and Bronx),"Financial (banking, accountant, insurance)",No,None,none,No,0,9.1,27-A,d4-col,1973,t0133186,16000,15000,10/01/2015,06/30/2017,0,Yes,Family,M,4,2,N
162194,11217,2013,24B,1,1,"1 BR, 1 BA, Balcony",18480115,INDIVIDUAL,48144556,Y,FALSE,10/15/2015,10/31/2016,3695,127000,99133,United Nation Population Fund,Closed,2/1/1970,Vienna,  ,1220,AT,Website,Manhattan,0,0,None,none,No,0,4.2,24B,1-696mb,696,t0024804,6300,3695,10/15/2015,10/31/2017,0,N,Single,M,1,0,No
156212,10028,1986,31-C,2,2,"2 Bed / 2 Bath, 1105 sq. ft.",18359969,INDIVIDUAL,47925364,Y,FALSE,10/31/2015,1/0/1900,6700,613600,600000,Perella Weinberg Partners,Closed,1/1/1983,New York,NY,10128,US,Streeteasy,Manhattan,"Financial (banking, accountant, insurance)",No,None,none,No,0,8.5,31-C,b4-col,946,t0133300,7000,6700,10/31/2015,01/31/2017,0,Yes,Family,M,4,2,N
162194,11217,2013,14E,0,1,"STU, 1 BA",18745926,INDIVIDUAL,48604806,Y,FALSE,11/1/2015,10/31/2016,2550,63000,63000,Mitchell|Giurgola Architects,Closed,3/1/1988,Brooklyn,NY,11238,US,Streeteasy,NYC Other (Staten Island and Bronx),0,0,None,none,No,0,8.5,14E,0-516m,516,t0024813,5250,0,11/1/2015,10/31/2016,0,N,Couple,MF,2,0,No
156212,10028,1986,27-H,0,1,Studio/1Bath,17547564,INDIVIDUAL,27451837,N,FALSE,11/1/2015,1/0/1900,2950,82850,0,Saint David's School,Approved,7/1/1984,New York,NY,10028,US,Unknown,Manhattan,0,No,0,none,No,0,-100,27-H,a21-col,455,t0133551,2725,2950,11/01/2015,07/31/2017,0,No,Single,F,1,0,N
162194,11217,2013,21E,1,1,"1 BR, 1 BA",18925277,INDIVIDUAL,48921304,Y,FALSE,11/6/2015,11/30/2017,3545,135000,135000,Imagine Software,Closed,4/1/1987,Brooklyn,NY,11238,US,Personal Referral,NYC Other (Staten Island and Bronx),0,0,None,none,No,0,7.2,21E,1-725m,725,t0024822,6300,3545,11/6/2015,11/30/2017,0,Y,Couple,MF,2,0,No
162194,11217,2013,20E,1,1,"1 BR, 1 BA",18841793,INDIVIDUAL,48765603,Y,FALSE,11/7/2015,11/30/2017,3485,230000,295000,"Weil, Gotshal & Manges LLP",Closed,2/1/1984,New York,NY,10011,US,Website,Manhattan,0,0,None,none,No,0,9.4,20E,1-725m,725,t0024819,6300,3485,11/7/2015,11/30/2017,0,N,Single,F,1,0,No
162194,11217,2013,16H,1,1,"1 BR, 1 BA",18844713,INDIVIDUAL,48771677,Y,FALSE,11/7/2015,11/30/2017,3265,0,190000,Sagitec Solutions LLC,Closed,12/1/1978,Jersey City,NJ,7311,US,Broker,Tri-state,0,0,None,none,No,0,8.8,16H,1-657m,657,t0024818,6300,3265,11/7/2015,11/30/2017,0,Y,Couple,MF,2,0,No
156212,10028,1986,34-F,4,3.5,4 Bed / 3.5 Bath,18962473,INDIVIDUAL,48995871,Y,FALSE,11/28/2015,11/30/2017,14000,650000,0,MetLife,Approved,10/1/1968,New York,NY,10023,US,Broker,Manhattan,"Financial (banking, accountant, insurance)",No,None,none,No,0,9.3,34-F,d6-col,1882,t0134003,16000,14000,11/28/2015,11/30/2017,0,Yes,Couple,M,2,1,N
145511,10009,0,7G,1,1,1 Bed/1 Bath,19080327,INDIVIDUAL,49210515,N,FALSE,12/1/2015,5/31/2017,3295,85000,85000,TriNet-Ambrose,Closed,9/1/1973,New York,NY,10009,US,Broker,0,0,0,0,none,No,0,8.7,7G,1-575ra,575,t0024847,4667.52,3295,12/1/2015,5/31/2017,0,?,Not Available,MM,2,0,Not Available
156212,10028,1986,8B,1,1,1 Bed / 1 Bath,18690833,INDIVIDUAL,30619228,N,TRUE,12/1/2015,1/31/2017,3150,80000,101339,"Michael Zbar and Peter M. Leung, LLP",Approved,9/1/1962,NEW YORK,NY,10128,US,Broker,Manhattan,"Creative (media, advertising, fashion)",Dog less than 15 lbs,0,one,No,0,8.9,08B,a41-col,575,t0118324,3186,3150,12/01/2013,01/31/2017,0,No,Single,F,1,0,N
156212,10028,1986,29-H,0,1,Studio/1Bath,19039451,INDIVIDUAL,35171071,Y,FALSE,12/1/2015,11/30/2017,3000,200000,330000,Riverdale Oral Surgery,Closed,11/1/1970,New York,NY,10028,US,Unknown,Manhattan,"Medical (doctor, nurse)",No,0,none,No,0,9.6,29-H,a21-col,455,t0134500,2725,3000,12/01/2015,11/30/2017,0,No,Single,F,1,0,N
156212,10028,1986,29D,1,1.5,1BED/1 Bath,19047337,INDIVIDUAL,49152950,Y,FALSE,12/1/2015,1/31/2017,7850,200000,200000,Fromer Eye Centers,Closed,2/1/1981,New York,NY,10012,US,Streeteasy,Manhattan,0,No,None,none,No,0,9.4,29-D,d5-col,1105,t0134204,7900,7850,12/01/2015,01/31/2017,0,Yes,Couple,M,2,0,N
