movieId,title,genres,imdbId,tmdbId,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,title2,runtime,rt_score,imdb_votes
27,Now and Then (1995),Children|Drama,114011,9263,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Now and Then,0.168350168,0.28,0.013148506
28,Persuasion (1995),Drama|Romance,114117,17015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Persuasion,0.156565657,0,0.006940002
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,"City of Lost Children, The (Cité des enfants perdus, La)",0,0,0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Shanghai Triad (Yao a yao yao dao waipo qiao),0,0,0
31,Dangerous Minds (1995),Drama,112792,9909,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dangerous Minds,0.166666667,0.28,0.0241286
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Twelve Monkeys (a.k.a. 12 Monkeys),0,0,0
34,Babe (1995),Children|Drama,112431,9598,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Babe,0.153198653,0.97,0.059020454
36,Dead Man Walking (1995),Crime|Drama,112818,687,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Dead Man Walking,0.205387205,0.95,0.044862197
38,It Takes Two (1995),Children|Comedy,113442,33689,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It Takes Two,0.17003367,0.08,0.009995886
39,Clueless (1995),Comedy|Romance,112697,9603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Clueless,0.163299663,0,0.085330509
40,"Cry, the Beloved Country (1995)",Drama,112749,34615,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Cry, the Beloved Country",0.178451178,0.85,0.000872256
41,Richard III (1995),Drama|War,114279,31174,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Richard III,0.185185185,0.94,0.006960654
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Dead Presidents,0.2003367,0.44,0.009707308
43,Restoration (1995),Drama,114272,35196,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Restoration,0.196969697,0.7,0.004516708
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mortal Kombat,0.17003367,0.46,0.050892445
45,To Die For (1995),Comedy|Drama|Thriller,114681,577,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,To Die For,0.178451178,0.88,0.021754761
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,How to Make an American Quilt,0.196969697,0.61,0.005391681
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Seven (a.k.a. Se7en),0,0,0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Pocahontas,0.136363636,0.56,0.082067566
49,When Night Is Falling (1995),Drama|Romance,114916,8391,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,When Night Is Falling,0.158249158,0.5,0.003316745
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"Usual Suspects, The",0,0,0
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Mighty Aphrodite,0.15993266,0.77,0.019385269
53,Lamerica (1994),Adventure|Drama,110299,49133,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Lamerica,0.195286195,0.91,0.001050511
54,"Big Green, The (1995)",Children|Comedy,112499,26441,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Big Green, The",0,0,0
55,Georgia (1995),Drama,113158,97406,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Georgia,0.193602694,0.8,0.001443977
57,Home for the Holidays (1995),Drama,113321,9089,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Home for the Holidays,0.173400673,0.63,0.005836776
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"Postman, The (Postino, Il)",0,0,0
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Indian in the Cupboard, The",0,0,0
61,Eye for an Eye (1996),Drama|Thriller,116260,17182,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Eye for an Eye,0.17003367,0,0.006493821
62,Mr. Holland's Opus (1995),Drama,113862,2054,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Mr. Holland's Opus,0.240740741,0.75,0.018078244
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0.14983165,0.31,0.024263922
64,Two if by Sea (1996),Comedy|Romance,118002,19760,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Two if by Sea,0.161616162,0.11,0.002775457
65,Bio-Dome (1996),Comedy,115683,9536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bio-Dome,0.148148148,0.04,0.013220786
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Lawnmower Man 2: Beyond Cyberspace,0.156565657,0.11,0.004710724
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,French Twist (Gazon maudit),0,0,0
69,Friday (1995),Comedy,113118,10634,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,0.153198653,0,0.049379449
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,From Dusk Till Dawn,0.181818182,0.63,0.141596157
71,Fair Game (1995),Action,113010,11859,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fair Game,0.181818182,0.79,0.023809045
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Kicking and Screaming,0.161616162,0.55,0.004799308
73,"Misérables, Les (1995)",Drama|War,113828,48750,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"Misérables, Les",0,0,0
74,Bed of Roses (1996),Drama|Romance,115644,20927,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Bed of Roses,0.146464646,0.19,0.004078135
75,Big Bully (1996),Comedy|Drama,115676,36929,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Big Bully,0.151515152,0,0.002274386
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Screamers,0.181818182,0.31,0.012668086
77,Nico Icon (1995),Documentary,113973,124626,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Nico Icon,0.112794613,0.88,0.000338033
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"Crossing Guard, The",0,0,0
79,"Juror, The (1996)",Drama|Thriller,116731,9623,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Juror, The",0,0,0
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"White Balloon, The (Badkonake sefid)",0,0,0
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Things to Do in Denver When You're Dead,0.193602694,0.33,0.013398498
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Antonia's Line (Antonia),0,0,0
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Once Upon a Time... When We Were Colored,0.193602694,0.71,0.000239666
85,Angels and Insects (1995),Drama|Romance,112365,8447,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Angels and Insects,0.195286195,0.71,0.002301016
86,White Squall (1996),Action|Adventure|Drama,118158,10534,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,White Squall,0.217171717,0.6,0.010866511
87,Dunston Checks In (1996),Children|Comedy,116151,17414,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dunston Checks In,0.148148148,0.12,0.006001988
88,Black Sheep (1996),Comedy,115697,13997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black Sheep,0.146464646,0.71,0.020399912
89,Nick of Time (1995),Action|Thriller,113972,2086,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Nick of Time,0.151515152,0.33,0.019846124
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Mary Reilly,0.181818182,0.26,0.007201407
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Vampire in Brooklyn,0.168350168,0.1,0.010708364
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639,9283,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Beautiful Girls,0.188552189,0.79,0.01613863
95,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Broken Arrow,0.181818182,0.53,0.046561058
96,In the Bleak Midwinter (1995),Comedy|Drama,113403,40154,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,In the Bleak Midwinter,0.025252525,0,0
97,"Hate (Haine, La) (1995)",Crime|Drama,113247,406,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Hate (Haine, La)",0,0,0
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,63076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Heidi Fleiss: Hollywood Madam,0.178451178,0.75,0.000338576
100,City Hall (1996),Drama|Thriller,115907,11062,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,City Hall,0.186868687,0.54,0.010009473
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Bottle Rocket,0.153198653,0.85,0.034784792
102,Mr. Wrong (1996),Comedy,117102,47475,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mr. Wrong,0.161616162,0.07,0.002529813
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Unforgettable,0.101010101,0,0.008010621
104,Happy Gilmore (1996),Comedy,116483,9614,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Happy Gilmore,0.154882155,0.61,0.098028485
105,"Bridges of Madison County, The (1995)",Drama|Romance,112579,688,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"Bridges of Madison County, The",0,0,0
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251,11907,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Nobody Loves Me (Keiner liebt mich),0,0,0
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110,10874,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Muppet Treasure Island,0.166666667,0.73,0.010404026
108,Catwalk (1996),Documentary,112646,89333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Catwalk,0.15993266,0.29,0.00011304
110,Braveheart (1995),Action|Drama|War,112573,197,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Braveheart,0.2996633,0.77,0.483152968
111,Taxi Driver (1976),Crime|Drama|Thriller,75314,103,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Taxi Driver,0.191919192,0.98,0.344881707
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,113326,33542,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rumble in the Bronx (Hont faan kui),0,0,0
113,Before and After (1996),Drama|Mystery,115645,43566,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Before and After,0.181818182,0.32,0.00415585
116,Anne Frank Remembered (1995),Documentary,112373,51352,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Anne Frank Remembered,0.196969697,0.97,0.000491833
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,115033,16934,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Young Poisoner's Handbook, The",0,0,0
118,If Lucy Fell (1996),Comedy|Romance,116606,10324,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,If Lucy Fell,0.154882155,0.18,0.001984178
119,"Steal Big, Steal Little (1995)",Comedy,114536,78406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Steal Big, Steal Little",0.227272727,0.15,0.000469551
121,"Boys of St. Vincent, The (1992)",Drama,106473,32119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Boys of St. Vincent, The",0,0,0
122,Boomerang (1992),Comedy|Romance,103859,11066,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Boomerang,0.196969697,0.44,0.012826777
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,109424,11104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Chungking Express (Chung Hing sam lam),0,0,0
125,Flirting With Disaster (1996),Comedy,116324,2074,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flirting With Disaster,0.154882155,0.87,0.009059502
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,110647,27793,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"NeverEnding Story III, The",0,0,0
128,Jupiter's Wife (1994),Documentary,110217,290157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jupiter's Wife,0.146464646,0.8,0.000121192
129,Pie in the Sky (1996),Comedy|Romance,114131,110972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Pie in the Sky,0.084175084,0,0.00046466
132,Jade (1995),Thriller,113451,11863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jade,0.15993266,0.14,0.005760691
135,Down Periscope (1996),Comedy,116130,9101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Down Periscope,0.154882155,0.12,0.010622497
137,Man of the Year (1995),Documentary,113756,5757,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Man of the Year,0.193602694,0.22,0.016527749
140,Up Close and Personal (1996),Drama|Romance,118055,9302,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Up Close and Personal,0.075757576,0,9.78E-06
141,"Birdcage, The (1996)",Comedy,115685,11000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birdcage, The",0,0,0
144,"Brothers McMullen, The (1995)",Comedy,112585,16388,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brothers McMullen, The",0,0,0
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442,9737,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Bad Boys,0.2003367,0.42,0.112280217
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,112342,30765,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amazing Panda Adventure, The",0,0,0
147,"Basketball Diaries, The (1995)",Drama,112461,10474,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Basketball Diaries, The",0,0,0
148,"Awfully Big Adventure, An (1995)",Drama,112427,22279,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Awfully Big Adventure, An",0,0,0
149,Amateur (1994),Crime|Drama|Thriller,109093,30157,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Amateur,0.176767677,0.78,0.00279937
150,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Apollo 13,0.235690236,0.95,0.133369781
151,Rob Roy (1995),Action|Drama|Romance|War,114287,11780,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Rob Roy,0.234006734,0.73,0.020842833
152,"Addiction, The (1995)",Drama|Horror,112288,34996,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Addiction, The",0,0,0
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,414,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Batman Forever,0.203703704,0.39,0.119529449
154,Beauty of the Day (Belle de jour) (1967),Drama,61395,649,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Beauty of the Day (Belle de jour),0,0,0
155,Beyond Rangoon (1995),Adventure|Drama|War,112495,1873,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Beyond Rangoon,0.168350168,0.39,0.002451011
156,Blue in the Face (1995),Comedy|Drama,112541,5894,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Blue in the Face,0.13973064,0.41,0.004621596
157,Canadian Bacon (1995),Comedy|War,109370,1775,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Canadian Bacon,0.153198653,0.14,0.008155726
158,Casper (1995),Adventure|Children,112642,8839,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casper,0.168350168,0.44,0.057925379
159,Clockers (1995),Crime|Drama|Mystery,112688,20649,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Clockers,0.215488215,0.69,0.010312181
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715,10329,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Congo,0.183501684,0.22,0.021244451
161,Crimson Tide (1995),Drama|Thriller|War,112740,8963,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Crimson Tide,0.195286195,0.88,0.050788644
162,Crumb (1994),Documentary,109508,26564,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Crumb,0.2003367,0.95,0.009091023
163,Desperado (1995),Action|Romance|Western,112851,8068,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Desperado,0.175084175,0.61,0.086583731
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,112857,8512,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,Devil in a Blue Dress,0.171717172,0.88,0.008585604
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,112864,1572,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Die Hard: With a Vengeance,0.215488215,0.52,0.185277413
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,112887,13552,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Doom Generation, The",0,0,0
168,First Knight (1995),Action|Drama|Romance,113071,6520,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,First Knight,0.225589226,0.44,0.034428825
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,113114,9073,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Free Willy 2: The Adventure Home,0.15993266,0.31,0.008414413
170,Hackers (1995),Action|Adventure|Crime|Thriller,113243,10428,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Hackers,0.18013468,0.33,0.033456029
171,Jeffrey (1995),Comedy|Drama,113464,17447,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Jeffrey,0.154882155,0.69,0.002904258
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481,9886,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Johnny Mnemonic,0.161616162,0.13,0.033654936
173,Judge Dredd (1995),Action|Crime|Sci-Fi,113492,9482,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Judge Dredd,0.161616162,0.17,0.055910225
